unit,age,icd10,sex,geo\time	2011 	2012 	2013 	2014 	2015 
RT,TOTAL,X60-X84_Y870,F,AT	7.16 	6.51 	7.19 	7.02 	6.28 
RT,TOTAL,X60-X84_Y870,F,BE	10.86 	9.75 	9.47 	9.88 	9.68 
RT,TOTAL,X60-X84_Y870,F,BG	4 	5.1 	3.75 	4.24 	4.02 
RT,TOTAL,X60-X84_Y870,F,CH	6.85 	6.93 	6.91 	6.61 	6.54 
RT,TOTAL,X60-X84_Y870,F,CY	1.22 	0.38 	1.13 	2.42 	2.03 
RT,TOTAL,X60-X84_Y870,F,CZ	4.75 	5.18 	5.28 	5.46 	4.76 
RT,TOTAL,X60-X84_Y870,F,DE	5.53 d	5.74 d	5.82 	5.74 	5.93 
RT,TOTAL,X60-X84_Y870,F,DK	5.63 	5.9 	5.73 	5.89 	6.11 
RT,TOTAL,X60-X84_Y870,F,EE	5.44 	6.16 	6.1 	6.5 	5.08 
RT,TOTAL,X60-X84_Y870,F,EL	1.43 	1.56 	1.87 	1.92 	1.84 
RT,TOTAL,X60-X84_Y870,F,ES	3.06 	3.3 	3.94 	3.94 	3.73 
RT,TOTAL,X60-X84_Y870,F,EU28	4.93 d	4.94 d	5.03 d	4.93 	4.85 
RT,TOTAL,X60-X84_Y870,F,FI	7.32 	7.79 	8.09 	7.01 	6.2 
RT,TOTAL,X60-X84_Y870,F,FR	8 	7.38 	7.23 	6.68 	6.28 
RT,TOTAL,X60-X84_Y870,F,HR	7.86 	7.66 d	6.34 	8.02 	8.31 
RT,TOTAL,X60-X84_Y870,F,HU	10.68 d	10.16 d	9.27 	8.25 	8.78 
RT,TOTAL,X60-X84_Y870,F,IE	3.97 	4.1 	4.31 	3.89 	3.98 
RT,TOTAL,X60-X84_Y870,F,IS	3.37 	7.15 	9.72 	6.93 	7.51 
RT,TOTAL,X60-X84_Y870,F,IT	2.6 	2.79 	2.87 	2.74 	2.57 
RT,TOTAL,X60-X84_Y870,F,LI	4.45 	9.23 	: 	: 	: 
RT,TOTAL,X60-X84_Y870,F,LT	11.66 	10.06 	11.7 	9.38 	10.09 
RT,TOTAL,X60-X84_Y870,F,LU	7.62 	4.69 	6.53 	6.22 	8.43 
RT,TOTAL,X60-X84_Y870,F,LV	6.24 	6.4 	5.47 	6.15 	7 
RT,TOTAL,X60-X84_Y870,F,MT	: 	2.88 	0.41 	2.4 	3.27 
RT,TOTAL,X60-X84_Y870,F,NL	6.14 	6.81 	6.52 	6.93 	6.93 
