wstatus,indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
RET,LI_R_MD60,Y_GE18,F,AT	15.8 	13.9 	18.2 b	18.4 	18.0 	18.4 	16.7 	16.8 	15.7 	14.2 	14.0 	14.0 
RET,LI_R_MD60,Y_GE18,F,BE	20.7 	20.7 	18.7 	17.5 	15.7 	15.8 	15.6 	14.9 b	12.4 	11.6 	12.5 	14.1 
RET,LI_R_MD60,Y_GE18,F,BG	20.5 	27.5 	34.4 	40.7 	34.2 	33.7 	31.5 	30.6 	24.2 	36.4 	30.0 b	38.4 
RET,LI_R_MD60,Y_GE18,F,CH	: 	28.8 	29.8 	33.6 	29.8 	31.0 	33.9 	31.7 	29.0 b	29.6 	30.0 	: 
RET,LI_R_MD60,Y_GE18,F,CY	51.8 	52.1 	48.7 b	48.3 	41.2 	38.0 	32.9 	22.9 	24.5 	19.1 	22.5 	23.7 
RET,LI_R_MD60,Y_GE18,F,CZ	8.1 	7.7 	10.1 	9.5 	9.5 	9.3 	8.3 	7.7 	8.4 	9.5 	10.6 	14.4 
RET,LI_R_MD60,Y_GE18,F,DE	13.5 	18.7 	15.8 	15.8 	14.4 	15.0 	15.6 	16.7 	18.6 	18.8 	20.0 	19.5 
RET,LI_R_MD60,Y_GE18,F,DK	16.5 	17.9 	17.5 	20.8 	17.8 	13.6 b	13.4 	10.9 	10.8 	9.7 	10.0 	8.1 
RET,LI_R_MD60,Y_GE18,F,EA18	15.6 	16.6 	16.1 	15.2 	13.1 	13.3 	13.0 	12.9 	13.0 	13.0 	13.9 	: 
RET,LI_R_MD60,Y_GE18,F,EA19	15.8 	16.8 	16.4 	15.4 	13.1 	13.3 	13.1 	13.1 	13.1 	13.3 	14.2 	: 
RET,LI_R_MD60,Y_GE18,F,EE	33.6 	42.3 	48.7 	43.9 	21.1 	17.5 	22.3 	31.9 	41.5 b	46.4 	52.0 	52.6 
RET,LI_R_MD60,Y_GE18,F,EL	27.1 	24.9 	23.2 	19.2 	21.4 	19.5 	14.2 	13.1 	12.2 	11.7 	10.5 	10.2 
RET,LI_R_MD60,Y_GE18,F,ES	18.2 	16.2 	21.3 b	18.3 	14.8 	13.4 	8.9 	8.3 	7.9 	8.6 	8.7 	11.8 
RET,LI_R_MD60,Y_GE18,F,EU27	16.8 e	17.7 	17.7 	17.0 	15.3 	15.3 	14.1 	14.0 	14.1 	14.5 	15.3 	: 
RET,LI_R_MD60,Y_GE18,F,EU28	: 	: 	: 	: 	15.4 	15.4 	14.2 	14.0 	14.1 	14.6 	15.4 	: 
