unit,coicop,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
INX_A_AVG,CP00,AT	83.69 	85.53 	88.29 	88.64 	90.14 	93.35 	95.75 	97.77 	99.20 	100.00 	100.97 	103.22 
INX_A_AVG,CP00,BE	84.60 	86.13 	90.00 	89.99 	92.09 	95.18 	97.68 	98.90 	99.38 	100.00 	101.77 	104.03 
INX_A_AVG,CP00,BG	76.02 	81.78 	91.55 	93.81 	96.66 	99.94 	102.33 	102.72 	101.08 	100.00 	98.68 	99.85 
INX_A_AVG,CP00,CH	98.38 	99.16 	101.50 	100.77 	101.40 	101.48 	100.76 	100.83 	100.85 	100.00 	99.47 	100.11 
INX_A_AVG,CP00,CY	86.79 	88.67 	92.55 	92.71 	95.09 	98.40 	101.45 	101.84 	101.57 	100.00 	98.78 	99.45 
INX_A_AVG,CP00,CZ	83.2 	85.6 	91.0 	91.5 	92.6 	94.6 	98.0 	99.3 	99.8 	100.0 	100.7 	103.1 
INX_A_AVG,CP00,DE	87.5 	89.5 	91.9 	92.1 	93.2 	95.5 	97.5 	99.1 	99.9 	100.0 	100.4 	102.1 
INX_A_AVG,CP00,DK	86.5 	88.0 	91.2 	92.1 	94.1 	96.6 	98.9 	99.4 	99.8 	100.0 	100.0 	101.1 
INX_A_AVG,CP00,EA	86.78 	88.63 	91.53 	91.80 	93.28 	95.81 	98.21 	99.54 	99.97 	100.00 	100.24 	101.78 
INX_A_AVG,CP00,EA18	86.72 	88.59 	91.52 	91.80 	93.29 	95.82 	98.21 	99.54 	99.97 	100.00 	100.24 	101.77 
INX_A_AVG,CP00,EA19	86.67 	88.55 	91.51 	91.80 	93.28 	95.82 	98.22 	99.54 	99.97 	100.00 	100.24 	101.78 
INX_A_AVG,CP00,EE	72.37 	77.25 	85.45 	85.62 	87.96 	92.43 	96.33 	99.46 	99.93 	100.00 	100.80 	104.48 
INX_A_AVG,CP00,EL	87.14 	89.75 	93.55 	94.81 	99.27 	102.36 	103.42 	102.54 	101.11 	100.00 	100.02 	101.15 
INX_A_AVG,CP00,ES	86.29 	88.75 	92.41 	92.19 	94.08 	96.94 	99.31 	100.83 	100.63 	100.00 	99.66 	101.69 
INX_A_AVG,CP00,EU	84.67 	86.65 	89.82 	90.71 	92.60 	95.47 	97.99 	99.47 	100.01 	100.00 	100.25 	101.97 
INX_A_AVG,CP00,EU28	84.63 	86.64 	89.82 	90.71 	92.59 	95.46 	97.99 	99.46 	100.01 	100.00 	100.25 	101.97 
INX_A_AVG,CP00,FI	83.26 	84.57 	87.89 	89.32 	90.83 	93.85 	96.81 	98.96 	100.16 	100.00 	100.39 	101.23 
INX_A_AVG,CP00,FR	88.10 	89.52 	92.34 	92.44 	94.05 	96.20 	98.33 	99.31 	99.91 	100.00 	100.31 	101.47 
INX_A_AVG,CP00,HR	82.46 	84.65 	89.56 	91.56 	92.55 	94.59 	97.76 	100.04 	100.26 	100.00 	99.37 	100.67 
INX_A_AVG,CP00,HU	71.76 	77.45 	82.12 	85.43 	89.47 	92.98 	98.24 	99.92 	99.94 	100.00 	100.45 	102.84 
INX_A_AVG,CP00,IE	93.7 	96.4 	99.5 	97.8 	96.2 	97.4 	99.2 	99.7 	100.0 	100.0 	99.8 	100.1 
INX_A_AVG,CP00,IS	58.80 	60.94 	68.71 	79.89 	85.85 	89.46 	94.84 	98.76 	99.74 	100.00 	100.79 	99.13 
INX_A_AVG,CP00,IT	85.6 	87.3 	90.4 	91.1 	92.6 	95.3 	98.4 	99.7 	99.9 	100.0 	99.9 	101.3 
INX_A_AVG,CP00,LT	74.59 	78.93 	87.69 	91.34 	92.43 	96.24 	99.28 	100.44 	100.68 	100.00 	100.68 	104.42 
INX_A_AVG,CP00,LU	83.24 	85.45 	88.94 	88.95 	91.44 	94.85 	97.59 	99.25 	99.94 	100.00 	100.04 	102.15 
INX_A_AVG,CP00,LV	71.83 	79.08 	91.14 	94.11 	92.96 	96.88 	99.09 	99.11 	99.79 	100.00 	100.10 	103.00 
INX_A_AVG,CP00,MK	83.39 d	85.20 d	91.67 d	91.61 d	92.57 d	95.52 d	97.26 d	99.91 d	99.87 d	100.00 d	100.24 d	102.35 d
INX_A_AVG,CP00,MT	83.79 	84.38 	88.33 	89.95 	91.79 	94.10 	97.13 	98.08 	98.84 	100.00 	100.90 	102.18 
INX_A_AVG,CP00,NL	86.99 	88.36 	90.32 	91.20 	92.05 	94.32 	96.99 	99.47 	99.79 	100.00 	100.11 	101.40 
INX_A_AVG,CP00,NO	85.1 	85.7 	88.7 	90.7 	92.8 	94.0 	94.3 	96.2 	98.0 	100.0 	103.9 	105.8 
INX_A_AVG,CP00,PL	81.2 	83.3 	86.8 	90.3 	92.7 	96.3 	99.8 	100.6 	100.7 	100.0 	99.8 	101.4 
INX_A_AVG,CP00,PT	88.25 	90.39 	92.78 	91.95 	93.22 	96.54 	99.22 	99.65 	99.50 	100.00 	100.64 	102.20 
INX_A_AVG,CP00,RO	69.19 	72.58 	78.33 	82.70 	87.73 	92.84 	95.98 	99.04 	100.41 	100.00 	98.93 	100.00 
INX_A_AVG,CP00,RS	55.1 d	58.3 d	65.2 d	70.5 d	74.9 d	83.3 d	89.4 d	96.3 d	98.5 d	100.0 d	101.3 d	104.7 d
INX_A_AVG,CP00,SE	88.34 	89.82 	92.83 	94.63 	96.43 	97.75 	98.66 	99.10 	99.30 	100.00 	101.14 	103.02 
INX_A_AVG,CP00,SI	83.25 	86.42 	91.19 	91.97 	93.86 	95.81 	98.50 	100.40 	100.77 	100.00 	99.85 	101.40 
INX_A_AVG,CP00,SK	85.19 	86.80 	90.22 	91.05 	91.69 	95.43 	99.00 	100.45 	100.35 	100.00 	99.52 	100.90 
INX_A_AVG,CP00,TR	49.34 d	53.66 d	59.27 d	62.97 d	68.37 d	72.79 d	79.31 d	85.22 d	92.81 d	100.00 d	107.66 d	119.63 d
INX_A_AVG,CP00,UK	79.9 	81.8 	84.7 	86.6 	89.4 	93.4 	96.1 	98.5 	100.0 	100.0 	100.7 	103.4 
INX_A_AVG,CP00,US	84.88 d	87.11 d	90.97 d	90.25 d	92.56 d	96.16 d	98.23 d	99.48 d	100.81 d	100.00 d	100.55 d	102.29 d
