sex,age,typtrai,wstatus,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,Y15-29,NO_FED_NFE,NEMP,PC,AT	12.4 	11.2 	9.4 	9.5 	12.2 b	11.9 	11.3 b	11.5 b	11.0 	11.2 	10.6 	9.8 	9.5 	9.7 	10.3 	9.2 	9.4 	9.1 
F,Y15-29,NO_FED_NFE,NEMP,PC,BE	20.4 	19.7 b	18.9 	20.0 	18.1 b	15.7 	15.1 b	15.0 	14.0 	14.4 	14.1 	15.3 b	15.4 	15.7 	14.2 	15.0 	14.0 	13.2 b
F,Y15-29,NO_FED_NFE,NEMP,PC,BG	: 	34.2 	32.4 	32.5 b	31.0 	30.3 	27.9 b	23.3 	21.9 b	24.0 	25.8 b	26.6 	26.4 	27.8 	26.8 	24.7 	25.8 	23.2 
F,Y15-29,NO_FED_NFE,NEMP,PC,CH	10.5 	8.5 	9.3 	10.4 b	9.3 	9.3 	9.5 	8.7 	8.1 	9.8 	9.6 b	8.7 	8.7 	8.6 	8.0 	7.7 	7.8 	7.1 
F,Y15-29,NO_FED_NFE,NEMP,PC,CY	17.3 	15.2 	12.7 	14.7 b	14.7 	22.3 	14.2 b	13.0 	13.2 	14.2 b	14.8 	15.4 	17.4 	20.1 	18.5 	19.2 	19.5 	19.3 
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ	: 	: 	24.3 	25.2 b	24.9 	24.0 	20.3 b	18.2 	16.8 	17.6 	17.7 	16.9 b	17.7 	17.7 b	17.4 	17.2 	16.8 	15.5 
F,Y15-29,NO_FED_NFE,NEMP,PC,DE	13.6 	13.0 	13.5 	14.6 b	14.8 	16.2 b	15.1 	14.2 	13.8 b	13.3 	12.9 b	11.7 b	11.5 	10.8 	10.8 	10.5 	10.9 	10.5 
F,Y15-29,NO_FED_NFE,NEMP,PC,DK	7.4 	7.9 	8.2 	8.4 b	7.4 	7.3 	5.7 	5.7 b	5.5 	6.4 	6.8 	7.9 	8.4 	8.1 	7.8 	8.2 	7.7 b	9.6 
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18	18.8 	18.1 	17.7 	17.4 b	17.3 	17.4 	16.4 b	15.8 	15.7 	16.5 	16.9 	16.9 	17.3 	17.3 	17.0 	16.6 	16.1 	15.4 
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19	18.8 	18.1 	17.6 	17.3 b	17.3 	17.3 	16.3 b	15.8 	15.7 	16.5 	16.9 	16.9 	17.2 	17.3 	17.0 	16.5 	16.0 	15.3 
