indic_il,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S80_S20,TOTAL,F,AT	3.8 	3.7 	3.8 	4.2 b	4.1 	4.3 	4.1 	4.1 	4.1 	4.1 	3.9 	4.0 	4.3 
S80_S20,TOTAL,F,BE	3.8 	4.0 	3.8 	4.1 	3.9 	3.9 	3.8 	4.0 	3.7 	3.7 	3.7 	3.7 	3.8 
S80_S20,TOTAL,F,BG	: 	5.1 	7.0 	6.5 	6.0 	6.0 	6.5 	6.3 	6.7 	6.6 	6.9 	7.4 b	8.0 
S80_S20,TOTAL,F,CH	: 	: 	4.7 	4.9 	4.8 	4.4 	4.4 	4.3 	4.2 	4.4 b	4.4 	4.3 	: 
S80_S20,TOTAL,F,CY	4.5 	4.5 	4.7 	4.5 b	4.5 	4.7 	4.5 	4.8 	5.0 	5.5 	5.2 	4.9 	4.6 
S80_S20,TOTAL,F,CZ	3.6 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.4 
S80_S20,TOTAL,F,DE	3.7 	3.9 	4.8 	4.7 	4.4 	4.4 	4.3 	4.2 	4.5 	5.0 	4.7 	4.6 	4.4 
S80_S20,TOTAL,F,DK	3.4 	3.3 	3.6 	3.5 	4.0 	4.2 b	3.8 b	3.7 	3.7 	4.0 	4.0 	3.9 	3.9 
S80_S20,TOTAL,F,EA18	4.6 	4.6 	4.8 	4.8 	4.8 	4.8 	4.9 	4.9 	5.0 	5.1 	5.0 	5.1 	: 
S80_S20,TOTAL,F,EA19	4.6 	4.6 	4.8 	4.9 	4.8 	4.9 	4.9 	4.9 	5.0 	5.1 	5.1 	5.1 	: 
S80_S20,TOTAL,F,EE	5.6 	5.3 	5.4 	4.8 	4.8 	4.8 	5.1 	5.2 	5.3 	6.2 b	5.8 	5.3 	5.2 
