indic_em,age,unit,sex,geo\time	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	TARGET 
EMP_LFS,Y20-64,PC_POP,F,AT	: 	: 	60.9 e	60.7 e	60.9 e	61.5 e	61.8 	62.3 	62.8 	64.1 	64.5 	62.7 b	64.0 	65.2 	66.2 b	67.6 	68.2 	68.8 	69.2 	69.6 	70.0 	70.1 	70.2 	70.9 	71.4 	: 
EMP_LFS,Y20-64,PC_POP,F,BE	48.9 e	49.1 e	49.6 e	50.2 e	51.4 e	52.7 e	54.7 b	56.0 	55.3 b	55.8 	56.2 	57.2 	58.6 	58.8 	60.3 	61.3 	61.0 	61.6 	61.5 	61.7 	62.1 	62.9 	63.0 	63.0 	63.6 b	: 
EMP_LFS,Y20-64,PC_POP,F,BG	: 	: 	: 	: 	: 	: 	: 	50.7 	51.5 b	52.3 	54.0 	56.0 	57.1 	60.4 	63.5 	65.4 	64.0 	60.8 b	59.8 b	60.2 	60.7 	62.0 	63.8 	64.0 	67.3 	: 
EMP_LFS,Y20-64,PC_POP,F,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.2 b	74.6 	75.3 	75.3 	76.2 	76.8 	77.5 	77.4 	: 
EMP_LFS,Y20-64,PC_POP,F,CY	: 	: 	: 	: 	56.5 e	56.4 e	56.9 e	59.1 e	62.4 e	64.6 e	65.4 e	64.6 e	63.8 	65.9 	67.7 	68.2 	68.3 b	68.8 	67.7 	64.8 	62.2 	63.9 	64.0 	64.1 	66.2 	: 
EMP_LFS,Y20-64,PC_POP,F,CZ	: 	: 	: 	: 	: 	63.9 	62.3 	61.9 	62.2 	62.3 	61.4 	61.1 	61.3 	61.8 	62.4 	62.5 	61.4 	60.9 	61.7 b	62.5 	63.8 	64.7 	66.4 	68.6 	70.5 	: 
EMP_LFS,Y20-64,PC_POP,F,DE	56.9 e	57.2 e	57.6 e	57.8 e	57.9 e	58.6 e	59.9 e	60.8 e	61.5 e	61.8 e	61.9 e	62.0 e	63.1 b	65.0 	66.7 	67.8 	68.7 	69.7 b	71.3 b	71.6 	72.5 	73.1 	73.6 	74.5 	75.2 	: 
EMP_LFS,Y20-64,PC_POP,F,DK	69.6 e	68.3 e	67.9 e	68.5 e	70.1 e	71.2 e	72.3 b	72.9 	73.7 	73.1 	72.4 	73.0 	73.7 	74.8 	74.7 	75.5 	74.5 	73.0 	72.4 	72.2 	72.4 	72.2 	72.6 	74.0 b	73.7 b	: 
EMP_LFS,Y20-64,PC_POP,F,EA18	: 	: 	: 	: 	51.4 	52.3 	53.6 	54.8 	55.9 	56.8 	57.5 	58.3 	59.2 	60.5 	61.6 	62.4 	61.9 	61.8 	62.0 	62.0 	62.0 	62.6 	63.3 	64.3 	65.3 	: 
EMP_LFS,Y20-64,PC_POP,F,EA19	: 	: 	: 	: 	51.5 	52.4 	53.7 	54.9 	55.9 	56.9 	57.6 	58.4 	59.3 	60.5 	61.7 	62.4 	61.9 	61.8 	62.0 	62.0 	62.0 	62.6 	63.4 	64.4 	65.4 	: 
