unit,sector,na_item,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_EUR,S13,GD,AT	180270.0 	184674.5 	201809.9 	230014.6 	244696.8 	255683.8 	261040.8 	263229.5 	279862.1 	291392.8 	295200.4 	289489.9 
MIO_EUR,S13,GD,BE	297426.8 	299998.2 	327623.1 	347167.8 	364080.6 	388937.2 	404292.1 	413732.8 	428122.5 	435312.4 	448160.9 	452170.4 
MIO_EUR,S13,GD,BG	5721.0 	5296.9 	4847.5 	5108.7 	5856.1 	6284.2 	7004.9 	7147.0 	11531.8 	11771.8 	13969.3 	12815.1 
MIO_EUR,S13,GD,CY	9504.8 	9370.1 	8566.9 	10047.3 	10862.0 	12966.2 	15526.7 	18614.7 	18922.1 	19072.3 	19417.5 	18724.8 
MIO_EUR,S13,GD,CZ	35406.7 	39608.1 	42300.2 	49826.8 	59062.5 	62298.5 	71783.6 	67102.2 	65588.5 	67951.6 	64945.2 	68499.7 
MIO_EUR,S13,GD,DE	1591334.4 	1600016.2 	1669035.0 	1785684.4 	2088454.8 	2125098.6 	2202307.1 	2190495.6 	2192003.8 	2161775.2 	2145473.2 	2092643.1 
MIO_EUR,S13,GD,DK	71183.3 	63755.0 	80547.5 	92986.6 	103472.9 	114452.4 	114025.7 	113943.4 	117801.5 	108453.6 	105233.3 	104895.2 
MIO_EUR,S13,GD,EA18	5994009.4 	6103867.5 	6617558.4 	7351906.0 	8063798.2 	8477747.6 	8809812.2 	9088201.6 	9320019.0 	9446060.8 	9586098.9 	9668869.7 
MIO_EUR,S13,GD,EA19	5998161.3 	6108477.2 	6622320.5 	7359434.5 	8073948.6 	8489376.8 	8823076.3 	9101751.6 	9334844.0 	9462000.3 	9601612.5 	9685501.3 
MIO_EUR,S13,GD,EE	595.5 	595.2 	741.1 	995.6 	964.4 	1011.1 	1745.5 	1923.7 	2108.4 	2035.0 	1986.8 	2065.5 
MIO_EUR,S13,GD,EL	225648.0 	239915.0 	264775.0 	301062.0 	330570.0 	356235.0 	305085.0 	320498.0 	319629.0 	311724.0 	315009.0 	317407.0 
MIO_EUR,S13,GD,ES	392132.0 	384662.0 	440621.0 	569535.0 	650079.0 	744323.0 	891502.0 	979031.0 	1041624.0 	1073934.0 	1107220.0 	1144298.0 
MIO_EUR,S13,GD,EU27	7355758.3 	7457946.7 	7924816.2 	9012006.2 	10090201.3 	10724748.2 	11263760.6 	11611412.6 	12115379.5 	12475097.1 	12375333.7 	12466635.8 
MIO_EUR,S13,GD,EU28	7371222.7 	7474326.2 	7943236.3 	9033909.7 	10115748.8 	10752985.9 	11294159.4 	11646372.3 	12151727.5 	12512303.2 	12412599.1 	12504712.5 
MIO_EUR,S13,GD,FI	65894.0 	63425.0 	63254.0 	75482.0 	88160.0 	95490.0 	107708.0 	114801.0 	123696.0 	133175.0 	136040.0 	137286.0 
MIO_EUR,S13,GD,FR	1194106.0 	1252867.0 	1370326.0 	1607946.0 	1701085.0 	1807921.0 	1892492.0 	1977703.0 	2039852.0 	2101250.7 	2152523.3 	2218435.5 
MIO_EUR,S13,GD,HR	15464.4 	16379.5 	18420.0 	21903.5 	25547.4 	28237.7 	30398.9 	34960.1 	36349.7 	37209.1 	37268.4 	38079.7 
MIO_EUR,S13,GD,HU	62101.0 	66264.6 	72986.9 	76064.7 	78601.9 	72415.5 	77169.5 	78558.0 	79150.1 	83348.7 	86861.2 	90534.8 
MIO_EUR,S13,GD,IE	43692.3 	47147.8 	79619.6 	104684.3 	144227.1 	189725.1 	210015.6 	215337.8 	203355.4 	201630.9 	200692.5 	201293.7 
MIO_EUR,S13,GD,IT	1588072.3 	1606203.2 	1671400.8 	1770229.7 	1851816.9 	1908003.8 	1990129.7 	2070253.8 	2137319.6 	2173387.3 	2219545.8 	2263055.7 
MIO_EUR,S13,GD,LT	4151.9 	4609.7 	4762.1 	7528.5 	10150.4 	11629.2 	13264.1 	13550.0 	14825.0 	15939.5 	15513.7 	16631.7 
